"Name","GitHub","Category","Followers","Repos","TotalStars","score"
"Andrej Karpathy","karpathy","AI/ML",148001,63,393395,4.48
"Sebastian Raschka","rasbt","AI/ML",36352,147,152172,4.18
"George Hotz","geohot","AI/ML",46135,101,23453,3.9
"Hadley Wickham","hadley","Data Sci.",26541,230,7131,3.71
"Soumith Chintala","soumith","AI/ML",13119,169,18439,3.7
"Francois Chollet","fchollet","AI/ML",17861,16,36434,3.6
"Maxime Labonne","mlabonne","AI/ML",6536,23,82837,3.59
"Sasha Rush","srush","AI/ML",3832,165,19106,3.49
"Jake Vanderplas","jakevdp","Data Sci.",19048,239,1589,3.43
"Heng Li","lh3","Bioinfo.",4267,138,9184,3.37
"Ross Wightman","rwightman","AI/ML",7002,74,5079,3.3
"Ming Tommy Tang","crazyhottommy","Bioinfo.",3726,177,3885,3.25
"Christopher Olah","colah","AI/ML",9766,52,1728,3.16
"Wei Shen","shenwei356","Bioinfo.",1469,119,6116,3.11
"Gael Varoquaux","GaelVaroquaux","Data Sci.",3393,90,606,2.87
"Phil Ewels","ewels","Bioinfo.",844,159,419,2.64
"Alfredo Canziani","Atcold","AI/ML",3675,70,0,1.89
"Fabian Theis","theislab","Data Sci.",1400,253,0,1.86
"Peter Norvig","norvig","AI/ML",9726,4,0,1.75
"Rafael Irizarry","rafalab","Bioinfo.",1633,49,0,1.71
"Chelsea Finn","cbfinn","AI/ML",2174,25,0,1.68
"Laurens vd Maaten","lvdmaaten","AI/ML",1975,23,0,1.66
"Pierre Lindenbaum","lindenb","Bioinfo.",555,178,0,1.66
"Tri Dao","tridao","AI/ML",2933,10,0,1.64
"Aaron Quinlan","arq5x","Bioinfo.",771,75,0,1.62
"Nils Homer","nh13","Bioinfo.",374,207,0,1.61
"Lior Pachter","pachterlab","Bioinfo.",377,169,0,1.59
"Yann LeCun","ylecun","AI/ML",1509,12,0,1.54
"Adam Kosiorek","akosiorek","AI/ML",375,40,0,1.43
"Sahar Mor","saharmor","AI/ML",205,86,0,1.41
"Jim Fan","DrJimFan","AI/ML",934,7,0,1.4
"Eugene Myers","thegenemyers","Bioinfo.",467,19,0,1.39
"Cassie Kozyrkov","kozyrkov","AI/ML",1039,5,0,1.38
"Boas Pucker","bpucker","Bioinfo.",187,80,0,1.38
"Richard Durbin","richarddurbin","Bioinfo.",380,20,0,1.36
"Ben Johnson","biobenkj","Bioinfo.",121,132,0,1.36
"Durk Kingma","dpkingma","AI/ML",597,9,0,1.35
"Dean Lee","deanslee","Bioinfo.",118,2,0,0.9
"Oriol Vinyals","OriolVinyals","AI/ML",84,3,0,0.89
