"Name","GitHub","Category","Followers","TotalStars","Repos","log_f","log_s"
"Andrej Karpathy","karpathy","AI/ML",148001,393395,63,5.17026464980722,5.59482883579123
"George Hotz","geohot","AI/ML",46135,23453,101,4.66403052494722,4.37019840355911
"Sebastian Raschka","rasbt","AI/ML",36352,152172,147,4.56052830969491,5.18233474859631
"Hadley Wickham","hadley","Data Sci.",26541,7131,230,4.42391728199112,3.85315043644784
"Jake Vanderplas","jakevdp","Data Sci.",19048,1589,239,4.27984938239682,3.20112389720738
"Francois Chollet","fchollet","AI/ML",17861,36434,16,4.25190577047213,4.5615068539914
"Soumith Chintala","soumith","AI/ML",13119,18439,169,4.11790073206452,4.26573736431749
"Christopher Olah","colah","AI/ML",9766,1728,52,3.9897167199481,3.23754373814287
"Peter Norvig","norvig","AI/ML",9726,0,4,3.98793426523216,0
"Ross Wightman","rwightman","AI/ML",7002,5079,74,3.84522210642901,3.7057782128286
"Maxime Labonne","mlabonne","AI/ML",6536,82837,23,3.81531204352436,4.91822436222724
"Heng Li","lh3","Bioinfo.",4267,9184,138,3.63012264285931,3.9630318750539
"Sasha Rush","srush","AI/ML",3832,19106,165,3.58342550040651,4.28116977340974
"Ming Tommy Tang","crazyhottommy","Bioinfo.",3726,3885,177,3.57124285056022,3.58939102313693
"Alfredo Canziani","Atcold","AI/ML",3675,0,70,3.56525734342021,0
"Gael Varoquaux","GaelVaroquaux","Data Sci.",3393,606,90,3.53058385964512,2.78247262416629
"Tri Dao","tridao","AI/ML",2933,0,10,3.46731206298055,0
"Chelsea Finn","cbfinn","AI/ML",2174,0,25,3.33725953975028,0
"Laurens vd Maaten","lvdmaaten","AI/ML",1975,0,23,3.29556709996248,0
"Rafael Irizarry","rafalab","Bioinfo.",1633,0,49,3.21298618473667,0
"Yann LeCun","ylecun","AI/ML",1509,0,12,3.17868923977559,0
"Wei Shen","shenwei356","Bioinfo.",1469,6116,119,3.16702179579026,3.78646747674028
"Fabian Theis","theislab","Data Sci.",1400,0,253,3.14612803567824,0
"Cassie Kozyrkov","kozyrkov","AI/ML",1039,0,5,3.01661554755718,0
"Jim Fan","DrJimFan","AI/ML",934,0,7,2.97034687623009,0
"Phil Ewels","ewels","Bioinfo.",844,419,159,2.92634244662566,2.6222140229663
"Aaron Quinlan","arq5x","Bioinfo.",771,0,75,2.88705437805096,0
"Durk Kingma","dpkingma","AI/ML",597,0,9,2.77597433112937,0
"Pierre Lindenbaum","lindenb","Bioinfo.",555,0,178,2.74429298312268,0
"Eugene Myers","thegenemyers","Bioinfo.",467,0,19,2.66931688056611,0
"Richard Durbin","richarddurbin","Bioinfo.",380,0,20,2.57978359661681,0
"Lior Pachter","pachterlab","Bioinfo.",377,0,169,2.57634135020579,0
"Adam Kosiorek","akosiorek","AI/ML",375,0,40,2.57403126772772,0
"Nils Homer","nh13","Bioinfo.",374,0,207,2.57287160220048,0
"Sahar Mor","saharmor","AI/ML",205,0,86,2.31175386105575,0
"Boas Pucker","bpucker","Bioinfo.",187,0,80,2.2718416065365,0
"Ben Johnson","biobenkj","Bioinfo.",121,0,132,2.08278537031645,0
"Dean Lee","deanslee","Bioinfo.",118,0,2,2.07188200730613,0
"Oriol Vinyals","OriolVinyals","AI/ML",84,0,3,1.92427928606188,0
