"GitHub","Category","Followers","score"
"karpathy","AI/ML",148001,4.48
"geohot","AI/ML",46135,3.9
"rasbt","AI/ML",36352,4.18
"hadley","Data Sci.",26541,3.71
"jakevdp","Data Sci.",19048,3.43
"fchollet","AI/ML",17861,3.6
"soumith","AI/ML",13119,3.7
"colah","AI/ML",9766,3.16
"norvig","AI/ML",9726,1.75
"rwightman","AI/ML",7002,3.3
"mlabonne","AI/ML",6536,3.59
"lh3","Bioinfo.",4267,3.37
"srush","AI/ML",3832,3.49
"crazyhottommy","Bioinfo.",3726,3.25
"Atcold","AI/ML",3675,1.89
"GaelVaroquaux","Data Sci.",3393,2.87
"tridao","AI/ML",2933,1.64
"cbfinn","AI/ML",2174,1.68
"lvdmaaten","AI/ML",1975,1.66
"rafalab","Bioinfo.",1633,1.71
"ylecun","AI/ML",1509,1.54
"shenwei356","Bioinfo.",1469,3.11
"theislab","Data Sci.",1400,1.86
"kozyrkov","AI/ML",1039,1.38
"DrJimFan","AI/ML",934,1.4
"ewels","Bioinfo.",844,2.64
"arq5x","Bioinfo.",771,1.62
"dpkingma","AI/ML",597,1.35
"lindenb","Bioinfo.",555,1.66
"thegenemyers","Bioinfo.",467,1.39
"richarddurbin","Bioinfo.",380,1.36
"pachterlab","Bioinfo.",377,1.59
"akosiorek","AI/ML",375,1.43
"nh13","Bioinfo.",374,1.61
"saharmor","AI/ML",205,1.41
"bpucker","Bioinfo.",187,1.38
"biobenkj","Bioinfo.",121,1.36
"deanslee","Bioinfo.",118,0.9
"OriolVinyals","AI/ML",84,0.89
