"Name","GitHub","Followers","Repos","fpr"
"Peter Norvig","norvig",9726,4,2432
"Andrej Karpathy","karpathy",148001,63,2349
"Francois Chollet","fchollet",17861,16,1116
"George Hotz","geohot",46135,101,457
"Tri Dao","tridao",2933,10,293
"Maxime Labonne","mlabonne",6536,23,284
"Sebastian Raschka","rasbt",36352,147,247
"Cassie Kozyrkov","kozyrkov",1039,5,208
"Christopher Olah","colah",9766,52,188
"Jim Fan","DrJimFan",934,7,133
"Yann LeCun","ylecun",1509,12,126
"Hadley Wickham","hadley",26541,230,115
"Ross Wightman","rwightman",7002,74,95
"Chelsea Finn","cbfinn",2174,25,87
"Laurens vd Maaten","lvdmaaten",1975,23,86
"Jake Vanderplas","jakevdp",19048,239,80
"Soumith Chintala","soumith",13119,169,78
"Durk Kingma","dpkingma",597,9,66
"Dean Lee","deanslee",118,2,59
"Alfredo Canziani","Atcold",3675,70,52
"Gael Varoquaux","GaelVaroquaux",3393,90,38
"Rafael Irizarry","rafalab",1633,49,33
"Heng Li","lh3",4267,138,31
"Oriol Vinyals","OriolVinyals",84,3,28
"Eugene Myers","thegenemyers",467,19,25
