"Name","GitHub","Followers","Repos","TotalStars","PrimaryLang"
"Heng Li","lh3",4267,138,9184,"C"
"Ming Tommy Tang","crazyhottommy",3726,177,3885,"Python"
"Rafael Irizarry","rafalab",1633,49,0,"R"
"Wei Shen","shenwei356",1469,119,6116,"Go"
"Phil Ewels","ewels",844,159,419,"Nextflow"
"Aaron Quinlan","arq5x",771,75,0,"--"
"Pierre Lindenbaum","lindenb",555,178,0,"Java"
"Eugene Myers","thegenemyers",467,19,0,"C"
"Richard Durbin","richarddurbin",380,20,0,"C"
"Lior Pachter","pachterlab",377,169,0,"--"
"Nils Homer","nh13",374,207,0,"--"
"Boas Pucker","bpucker",187,80,0,"Python"
"Ben Johnson","biobenkj",121,132,0,"--"
"Dean Lee","deanslee",118,2,0,"--"
