"Repo","Stars","Domain"
"sindresorhus/awesome",446331,"Meta"
"vinta/awesome-python",287631,"Python"
"awesome-selfhosted/awesome-selfhosted",280586,"DevOps"
"avelino/awesome-go",167576,"Go"
"Hack-with-Github/Awesome-Hacking",108547,"Security"
"Shubhamsaboo/awesome-llm-apps",102573,"AI/LLM"
"jaywcjlove/awesome-mac",100351,"Tools"
"MunGell/awesome-for-beginners",83601,"Education"
"punkpeye/awesome-mcp-servers",83355,"AI/LLM"
"DopplerHQ/awesome-interview-questions",81471,"Career"
"josephmisiti/awesome-machine-learning",72017,"ML"
"fffaraz/awesome-cpp",70274,"C++"
"binhnguyennus/awesome-scalability",69466,"Architecture"
"prakhar1989/awesome-courses",67078,"Education"
"sindresorhus/awesome-nodejs",65315,"Node.js"
"Solido/awesome-flutter",59299,"Mobile"
"rust-unofficial/awesome-rust",56196,"Rust"
"ashishps1/awesome-system-design-resources",35216,"Architecture"
"kuchin/awesome-cto",34522,"Leadership"
"bayandin/awesome-awesomeness",33283,"Meta"
