"Name","GitHub","Domain","Followers","Repos","TopStars","curator_score"
"Sindre Sorhus","sindresorhus","Meta",77927,1133,446331,4.9
"Avelino","avelino","Go",6268,241,167576,4.23
"Vinta Chen","vinta","Python",9112,28,287631,4.21
"Frank Fiegel","punkpeye","AI/LLM",1721,4827,83355,4.17
"Kenny Wong","jaywcjlove","Tools",9005,211,100351,4.15
"Shubham Saboo","Shubhamsaboo","AI/LLM",7615,164,102573,4.11
"Joseph Misiti","josephmisiti","ML",4430,291,72017,4.02
"Prakhar Srivastav","prakhar1989","Education",6451,178,67078,4.01
"sorrycc","sorrycc","Frontend",14677,250,34931,4
"PatrickJS","PatrickJS","AI/LLM",3507,961,38530,3.95
"Sarah Drasner","sdras","DevOps",24842,102,27555,3.94
"Wasabeef","wasabeef","Mobile",9614,58,55672,3.92
"Shmavon Gazanchyan","MunGell","Education",2303,137,83601,3.9
"Ashish P. Singh","ashishps1","Architecture",12684,42,35216,3.83
"enaqx","enaqx","Frontend",2612,54,72413,3.8
"J. Le Coupanec","LeCoupa","Education",2774,20,45493,3.62
"Christos Christofidis","ChristosChristofidis","DL",1351,140,27711,3.59
"Julien Bisconti","veggiemonk","DevOps",680,182,35692,3.58
"Wilson Freitas","wilsonfreitas","Data",1429,122,24958,3.56
"Kevin Deldycke","kdeldycke","Education",1881,54,27176,3.55
"Lukasz Madon","lukasz-madon","Career",667,59,44102,3.52
"Jia-Bin Huang","jbhuang0604","DL",1971,23,23118,3.44
"Alexander Bayandin","bayandin","Meta",720,27,33283,3.4
"Terry T. Um","terryum","DL",1486,7,26095,3.33
"Dima Kuchin","kuchin","Leadership",635,13,34522,3.33
"Daniel Cook","danielecook","Bioinformatics",415,76,3900,2.96
"Gokcen Eraslan","gokceneraslan","Bioinformatics",483,101,1968,2.85
