"Repo","Stars","Domain","is_bio"
"sindresorhus/awesome",446331,"Meta",FALSE
"vinta/awesome-python",287631,"Python",FALSE
"awesome-selfhosted/awesome-selfhosted",280586,"DevOps",FALSE
"avelino/awesome-go",167576,"Go",FALSE
"Hack-with-Github/Awesome-Hacking",108547,"Security",FALSE
"Shubhamsaboo/awesome-llm-apps",102573,"AI/LLM",FALSE
"jaywcjlove/awesome-mac",100351,"Tools",FALSE
"MunGell/awesome-for-beginners",83601,"Education",FALSE
"punkpeye/awesome-mcp-servers",83355,"AI/LLM",FALSE
"DopplerHQ/awesome-interview-questions",81471,"Career",FALSE
"josephmisiti/awesome-machine-learning",72017,"ML",FALSE
"fffaraz/awesome-cpp",70274,"C++",FALSE
"binhnguyennus/awesome-scalability",69466,"Architecture",FALSE
"prakhar1989/awesome-courses",67078,"Education",FALSE
"sindresorhus/awesome-nodejs",65315,"Node.js",FALSE
"Solido/awesome-flutter",59299,"Mobile",FALSE
"rust-unofficial/awesome-rust",56196,"Rust",FALSE
"ashishps1/awesome-system-design-resources",35216,"Architecture",FALSE
"kuchin/awesome-cto",34522,"Leadership",FALSE
"bayandin/awesome-awesomeness",33283,"Meta",FALSE
"ChristosChristofidis/awesome-deep-learning",27711,"DL",FALSE
"terryum/awesome-deep-learning-papers",26095,"DL",FALSE
"danielecook/Awesome-Bioinformatics",3900,"Bioinformatics",TRUE
"gokceneraslan/awesome-deepbio",1968,"Bioinformatics",TRUE
