"Name","GitHub","Domain","Followers","TopStars","in_phase1","curator_score"
"Sindre Sorhus","sindresorhus","Meta",77927,446331,FALSE,4.9
"Vinta Chen","vinta","Python",9112,287631,FALSE,4.21
"Avelino","avelino","Go",6268,167576,FALSE,4.23
"Shubham Saboo","Shubhamsaboo","AI/LLM",7615,102573,FALSE,4.11
"Kenny Wong","jaywcjlove","Tools",9005,100351,FALSE,4.15
"Shmavon Gazanchyan","MunGell","Education",2303,83601,FALSE,3.9
"Frank Fiegel","punkpeye","AI/LLM",1721,83355,FALSE,4.17
"enaqx","enaqx","Frontend",2612,72413,FALSE,3.8
"Joseph Misiti","josephmisiti","ML",4430,72017,FALSE,4.02
"Prakhar Srivastav","prakhar1989","Education",6451,67078,FALSE,4.01
"Wasabeef","wasabeef","Mobile",9614,55672,FALSE,3.92
"J. Le Coupanec","LeCoupa","Education",2774,45493,FALSE,3.62
"Lukasz Madon","lukasz-madon","Career",667,44102,FALSE,3.52
"PatrickJS","PatrickJS","AI/LLM",3507,38530,FALSE,3.95
"Julien Bisconti","veggiemonk","DevOps",680,35692,FALSE,3.58
"Ashish P. Singh","ashishps1","Architecture",12684,35216,FALSE,3.83
"sorrycc","sorrycc","Frontend",14677,34931,FALSE,4
"Dima Kuchin","kuchin","Leadership",635,34522,FALSE,3.33
"Alexander Bayandin","bayandin","Meta",720,33283,FALSE,3.4
"Christos Christofidis","ChristosChristofidis","DL",1351,27711,FALSE,3.59
"Sarah Drasner","sdras","DevOps",24842,27555,FALSE,3.94
"Kevin Deldycke","kdeldycke","Education",1881,27176,FALSE,3.55
"Terry T. Um","terryum","DL",1486,26095,FALSE,3.33
"Wilson Freitas","wilsonfreitas","Data",1429,24958,FALSE,3.56
"Jia-Bin Huang","jbhuang0604","DL",1971,23118,FALSE,3.44
"Daniel Cook","danielecook","Bioinformatics",415,3900,FALSE,2.96
"Gokcen Eraslan","gokceneraslan","Bioinformatics",483,1968,FALSE,2.85
