"Name","Category","Followers","log_f"
"Andrej Karpathy","AI/ML",148001,5.17026464980722
"George Hotz","AI/ML",46135,4.66403052494722
"Sebastian Raschka","AI/ML",36352,4.56052830969491
"Francois Chollet","AI/ML",17861,4.25190577047213
"Soumith Chintala","AI/ML",13119,4.11790073206452
"Christopher Olah","AI/ML",9766,3.9897167199481
"Peter Norvig","AI/ML",9726,3.98793426523216
"Ross Wightman","AI/ML",7002,3.84522210642901
"Maxime Labonne","AI/ML",6536,3.81531204352436
"Sasha Rush","AI/ML",3832,3.58342550040651
"Alfredo Canziani","AI/ML",3675,3.56525734342021
"Tri Dao","AI/ML",2933,3.46731206298055
"Chelsea Finn","AI/ML",2174,3.33725953975028
"Laurens vd Maaten","AI/ML",1975,3.29556709996248
"Yann LeCun","AI/ML",1509,3.17868923977559
"Cassie Kozyrkov","AI/ML",1039,3.01661554755718
"Jim Fan","AI/ML",934,2.97034687623009
"Durk Kingma","AI/ML",597,2.77597433112937
"Adam Kosiorek","AI/ML",375,2.57403126772772
"Sahar Mor","AI/ML",205,2.31175386105575
"Oriol Vinyals","AI/ML",84,1.92427928606188
"Heng Li","Bioinfo.",4267,3.63012264285931
"Ming Tommy Tang","Bioinfo.",3726,3.57124285056022
"Rafael Irizarry","Bioinfo.",1633,3.21298618473667
"Wei Shen","Bioinfo.",1469,3.16702179579026
"Phil Ewels","Bioinfo.",844,2.92634244662566
"Aaron Quinlan","Bioinfo.",771,2.88705437805096
"Pierre Lindenbaum","Bioinfo.",555,2.74429298312268
"Eugene Myers","Bioinfo.",467,2.66931688056611
"Richard Durbin","Bioinfo.",380,2.57978359661681
"Lior Pachter","Bioinfo.",377,2.57634135020579
"Nils Homer","Bioinfo.",374,2.57287160220048
"Boas Pucker","Bioinfo.",187,2.2718416065365
"Ben Johnson","Bioinfo.",121,2.08278537031645
"Dean Lee","Bioinfo.",118,2.07188200730613
"Hadley Wickham","Data Sci.",26541,4.42391728199112
"Jake Vanderplas","Data Sci.",19048,4.27984938239682
"Gael Varoquaux","Data Sci.",3393,3.53058385964512
"Fabian Theis","Data Sci.",1400,3.14612803567824
